"Feature_set","Sensitivity_mean","Sensitivity_CI_lo","Sensitivity_CI_hi","Specificity_mean","Specificity_CI_lo","Specificity_CI_hi","Precision_mean","Precision_CI_lo","Precision_CI_hi","F1_mean","F1_CI_lo","F1_CI_hi","Balanced.Accuracy_mean","Balanced.Accuracy_CI_lo","Balanced.Accuracy_CI_hi"
"All features",0.753,0.696,0.809,0.919,0.9,0.936,0.751,0.693,0.806,0.75,0.692,0.806,0.836,0.798,0.872
"Boruta-selected features",0.808,0.769,0.855,0.938,0.924,0.953,0.809,0.765,0.86,0.803,0.762,0.85,0.873,0.848,0.903
