"class","variable","glm_coef","glm_pval","ridge_coef","lasso_coef","elastic_coef","glm_selected","ridge_selected","lasso_selected","elastic_selected","Boruta"
"4","Migraine",0.31935812791504,0.748032517709447,0.089408469056288,0.0637608795773076,0.118570599168814,FALSE,TRUE,TRUE,TRUE,"Rejected"
"1","Mitochondriopathy",NA,NA,-0.153061591698199,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Mitochondriopathy",1.28501844178516,0,0.457037006112983,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Mitochondriopathy",-0.198389987256917,0,-0.138431000684393,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Mitochondriopathy",-0.6212255605743,0,-0.165544413730391,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Monoclonal.gammopathy.of.undetermined.significance",NA,NA,-0.176043213339784,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Monoclonal.gammopathy.of.undetermined.significance",NA,NA,-0.0981252792079146,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"3","Monoclonal.gammopathy.of.undetermined.significance",NA,NA,0.364457615556105,0,0.0550711139183914,FALSE,TRUE,FALSE,TRUE,"Rejected"
"4","Monoclonal.gammopathy.of.undetermined.significance",NA,NA,-0.0902891230084063,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"1","Multiple.sclerosis",NA,NA,-0.233208886629897,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
"2","Multiple.sclerosis",-8.6731726377954,0,-0.324001283644872,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"3","Multiple.sclerosis",-1.78360314734764,0,-0.192906115540353,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Multiple.sclerosis",18.4245828098719,0,0.750116285815121,0.964211134393555,1.40293909630652,TRUE,TRUE,TRUE,TRUE,"Rejected"
"1","Myasthenia.gravis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Myasthenia.gravis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Myasthenia.gravis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Myasthenia.gravis",NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal.airflow..both.nostrils.",NA,NA,-2.10643687344251e-05,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal.airflow..both.nostrils.",-0.0254194183869575,0.164754114064729,-6.07045550198932e-05,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal.airflow..both.nostrils.",0.00305764209475823,0.855695123555522,-0.000536218056304315,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal.airflow..both.nostrils.",0.00526214546846977,0.764036230542749,0.000617986980058633,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal.airflow..left.nostril.",NA,NA,0.000106694860219674,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal.airflow..left.nostril.",0.0065771364900399,0.559991991512826,0.000378296643346305,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal.airflow..left.nostril.",-1.44499628647484e-05,0.998933655634328,-0.000507744761888224,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal.airflow..left.nostril.",-0.00125317988105811,0.909554731772991,2.27532583222457e-05,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal.airflow..right.nostril.",NA,NA,0.000151532691361141,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal.airflow..right.nostril.",0.0132646988277753,0.247834167254429,0.00010582475593204,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"3","Nasal.airflow..right.nostril.",-0.00384455072818695,0.707163242483898,-0.000598455909462883,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"4","Nasal.airflow..right.nostril.",0.00166058007923313,0.87899811725418,0.000341098462169702,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"1","Nasal.fracture.surgery",NA,NA,0.0497786655711883,0,0,FALSE,FALSE,FALSE,FALSE,"Rejected"
"2","Nasal.fracture.surgery",1.55730518291373,0.249958747880946,0.418638732742534,0,0.554520367857344,FALSE,TRUE,FALSE,TRUE,"Rejected"
"3","Nasal.fracture.surgery",-7.237805326896,0,-0.220208733140542,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"4","Nasal.fracture.surgery",-8.56259092567973,0,-0.24820866517318,0,0,TRUE,TRUE,FALSE,FALSE,"Rejected"
"1","Nasal.mucosa.surgery",NA,NA,0.214800903420833,0,0,FALSE,TRUE,FALSE,FALSE,"Rejected"
